iter	Passed	Remaining
0	22	22615
1	43	21838
2	65	21878
3	84	21089
4	104	20758
5	122	20372
6	143	20384
7	164	20369
8	183	20217
9	203	20097
10	221	19886
11	240	19833
12	261	19847
13	280	19781
14	300	19704
15	317	19541
16	337	19520
17	359	19592
18	379	19581
19	400	19628
20	426	19888
21	453	20145
22	477	20291
23	498	20253
24	517	20188
25	537	20133
26	560	20214
27	582	20208
28	603	20220
29	630	20374
30	661	20667
31	692	20941
32	716	20989
33	737	20966
34	764	21076
35	786	21073
36	817	21266
37	842	21332
38	867	21367
39	889	21353
40	911	21328
41	933	21281
42	952	21205
43	971	21105
44	989	21000
45	1008	20914
46	1028	20861
47	1055	20943
48	1113	21616
49	1138	21631
50	1163	21643
51	1193	21767
52	1217	21749
53	1240	21725
54	1262	21688
55	1286	21692
56	1308	21646
57	1331	21627
58	1354	21598
59	1373	21525
60	1396	21496
61	1422	21522
62	1446	21518
63	1469	21495
64	1492	21470
65	1513	21423
66	1536	21390
67	1558	21354
68	1578	21301
69	1601	21276
70	1622	21224
71	1640	21147
72	1660	21082
73	1681	21037
74	1703	21007
75	1723	20959
76	1744	20914
77	1765	20866
78	1783	20790
79	1803	20738
80	1822	20677
81	1841	20616
82	1863	20585
83	1883	20535
84	1904	20497
85	1924	20456
86	1947	20434
87	1967	20391
88	1989	20361
89	2009	20314
90	2030	20285
91	2049	20226
92	2068	20176
93	2091	20154
94	2111	20110
95	2130	20065
96	2151	20026
97	2171	19985
98	2192	19949
99	2213	19925
100	2234	19886
101	2255	19853
102	2275	19818
103	2295	19773
104	2314	19731
105	2335	19699
106	2357	19676
107	2378	19642
108	2399	19612
109	2423	19604
110	2445	19588
111	2467	19560
112	2489	19543
113	2509	19503
114	2530	19476
115	2552	19448
116	2574	19431
117	2596	19404
118	2624	19428
119	2649	19432
120	2675	19438
121	2697	19415
122	2717	19376
123	2736	19329
124	2756	19294
125	2777	19269
126	2798	19235
127	2819	19209
128	2840	19179
129	2862	19157
130	2882	19119
131	2903	19095
132	2923	19054
133	2941	19010
134	2960	18966
135	2978	18921
136	2996	18874
137	3015	18838
138	3035	18800
139	3054	18763
140	3073	18722
141	3091	18681
142	3110	18644
143	3132	18619
144	3150	18575
145	3170	18547
146	3191	18516
147	3211	18490
148	3234	18471
149	3256	18454
150	3278	18431
151	3299	18406
152	3320	18382
153	3341	18354
154	3362	18330
155	3384	18313
156	3407	18297
157	3427	18267
158	3448	18242
159	3468	18211
160	3489	18182
161	3509	18154
162	3529	18125
163	3548	18088
164	3569	18065
165	3589	18033
166	3609	18003
167	3627	17966
168	3646	17930
169	3665	17894
170	3684	17861
171	3703	17830
172	3721	17791
173	3742	17763
174	3762	17736
175	3782	17706
176	3801	17674
177	3818	17634
178	3837	17600
179	3856	17570
180	3876	17538
181	3893	17498
182	3911	17463
183	3929	17428
184	3948	17394
185	3966	17360
186	3985	17326
187	4004	17295
188	4022	17261
189	4041	17228
190	4060	17197
191	4079	17167
192	4099	17142
193	4117	17108
194	4137	17079
195	4156	17049
196	4175	17018
197	4193	16986
198	4212	16955
199	4231	16926
200	4249	16893
201	4270	16869
202	4288	16838
203	4307	16807
204	4326	16776
205	4347	16755
206	4366	16729
207	4388	16711
208	4409	16687
209	4427	16655
210	4446	16627
211	4464	16596
212	4484	16568
213	4504	16544
214	4523	16515
215	4541	16484
216	4561	16458
217	4580	16431
218	4598	16398
219	4617	16372
220	4636	16344
221	4656	16320
222	4679	16304
223	4699	16281
224	4722	16267
225	4745	16252
226	4766	16231
227	4785	16203
228	4805	16179
229	4825	16154
230	4847	16137
231	4866	16109
232	4885	16081
233	4906	16061
234	4926	16038
235	4948	16019
236	4970	16002
237	4997	16001
238	5020	15984
239	5048	15985
240	5069	15967
241	5093	15952
242	5116	15937
243	5137	15918
244	5159	15901
245	5179	15874
246	5200	15854
247	5220	15830
